# Time (s),Ang (°),Vel (°/s)
0.000,79.163,-0.760
0.040,77.679,0.128
0.080,79.015,-1.068
0.120,77.681,-0.331
0.160,78.852,-1.435
0.200,77.578,-0.689
0.240,78.539,-1.799
0.280,77.344,-0.915
0.320,78.134,-1.754
0.360,77.071,-0.908
0.400,77.782,-1.657
0.440,76.825,-0.870
0.480,77.415,-1.660
0.520,76.531,-2.873
0.560,77.128,-1.913
0.600,76.240,-3.120
0.640,76.947,-2.481
0.680,76.276,-3.183
0.720,76.952,-2.053
0.760,76.354,-2.382
0.800,76.983,-0.958
0.840,76.351,-0.759
0.880,76.717,1.193
0.920,76.151,2.394
0.960,76.356,4.886
1.000,75.593,6.849
1.040,75.992,10.061
1.080,75.702,12.131
1.120,76.228,15.360
1.160,76.304,17.662
1.200,77.175,20.866
1.240,77.780,22.878
1.280,79.330,25.968
1.320,80.440,27.865
1.360,82.607,30.686
1.400,84.289,32.340
1.440,86.652,34.842
1.480,88.564,36.190
1.520,91.082,38.421
1.560,93.047,40.007
1.600,95.286,42.406
1.640,97.125,44.893
1.680,99.008,47.243
1.720,100.700,49.096
1.760,102.228,50.709
1.800,103.467,51.643
1.840,104.945,52.213
1.880,106.439,52.098
1.920,108.234,51.765
1.960,110.229,50.665
2.000,113.089,50.110
2.040,115.574,49.671
2.080,118.607,48.953
2.120,121.007,49.152
2.160,123.922,48.852
2.200,126.059,48.967
2.240,128.331,48.495
2.280,129.975,48.180
2.320,131.614,46.235
2.360,133.135,46.511
2.400,135.023,45.022
2.440,136.288,44.058
2.480,138.330,42.340
2.520,139.781,40.673
2.560,141.401,38.514
2.600,142.263,36.666
2.640,143.489,34.258
2.680,143.427,32.296
2.720,145.443,29.845
2.760,146.247,26.139
2.800,148.335,22.370
2.840,149.446,18.174
2.880,151.145,14.796
2.920,151.818,9.948
2.960,153.254,6.101
3.000,153.466,2.494
3.040,154.167,1.229
3.080,153.851,-0.683
3.120,152.525,1.133
3.160,151.031,-0.290
3.200,149.562,1.220
3.240,148.124,0.392
3.280,146.288,1.108
3.320,144.662,0.331
3.360,143.396,0.943
3.400,143.246,0.042
3.440,142.942,0.948
3.480,144.334,0.904
3.520,145.210,1.870
3.560,147.223,3.361
3.600,148.649,6.325
3.640,150.332,6.920
3.680,151.410,9.937
3.720,152.573,12.167
3.760,153.288,15.614
3.800,154.224,17.611
3.840,154.890,19.378
3.880,155.347,19.757
3.920,155.214,18.018
3.960,156.091,16.922
4.000,155.098,14.406
4.040,156.074,12.624
4.080,156.021,10.519
4.120,157.153,9.172
