# Time (s),Ang (°),Vel (°/s)
0.000,91.304,0.426
0.034,93.057,-0.977
0.067,91.479,0.537
0.101,93.022,-0.757
0.135,91.602,0.638
0.169,93.072,-0.564
0.202,91.834,0.786
0.236,93.217,-0.417
0.270,92.099,0.830
0.303,93.344,-0.341
0.337,92.398,0.870
0.371,93.419,-0.304
0.405,92.547,0.905
0.438,93.487,2.190
0.472,92.677,1.042
0.506,93.587,2.202
0.539,92.776,0.991
0.573,93.617,2.066
0.607,92.827,0.976
0.640,93.643,1.949
0.674,92.852,0.968
0.708,93.667,1.633
0.742,92.956,0.981
0.775,93.724,1.586
0.809,93.087,0.940
0.843,93.740,1.553
0.876,93.227,0.735
0.910,93.875,1.386
0.944,93.413,0.495
0.978,93.996,0.952
1.011,93.499,0.005
1.045,94.080,0.322
1.079,93.616,-0.262
1.112,94.121,0.372
1.146,93.724,0.481
1.180,94.082,1.689
1.214,93.711,3.129
1.247,93.950,4.836
1.281,93.469,7.080
1.315,93.646,9.809
1.348,93.070,13.694
1.382,93.491,17.704
1.416,93.207,22.152
1.449,94.049,26.292
1.483,94.226,30.874
1.517,95.850,34.859
1.551,96.487,39.285
1.584,98.648,42.877
1.618,100.026,46.876
1.652,103.229,49.846
1.685,105.435,53.413
1.719,109.015,55.743
1.753,111.341,57.227
1.787,114.936,57.691
1.820,117.225,57.118
1.854,120.567,55.918
1.888,122.617,53.930
1.921,125.552,51.934
1.955,127.074,48.501
1.989,129.656,44.765
2.023,130.650,39.063
2.056,132.072,33.646
2.090,132.100,26.871
2.124,132.556,20.853
2.157,131.924,13.696
2.191,132.208,7.525
2.225,131.499,0.483
2.258,131.347,-4.879
2.292,130.205,-10.872
2.326,129.564,-15.164
2.360,128.118,-20.294
2.393,127.130,-23.547
2.427,125.400,-26.916
2.461,124.169,-28.523
2.494,122.298,-30.203
2.528,120.893,-30.791
2.562,119.328,-32.026
2.596,118.223,-32.357
2.629,116.851,-32.864
2.663,115.974,-32.415
2.697,114.776,-32.192
2.730,113.926,-31.167
2.764,112.871,-30.443
2.798,112.194,-28.884
2.832,111.166,-27.611
2.865,110.616,-25.743
2.899,109.685,-24.156
2.933,109.191,-22.734
2.966,108.352,-21.427
3.000,107.861,-20.174
3.034,107.106,-19.192
3.067,106.606,-18.165
3.101,105.927,-17.241
3.135,105.554,-16.209
3.169,104.943,-15.680
3.202,104.608,-15.089
3.236,104.001,-14.942
3.270,103.777,-14.312
3.303,103.250,-13.797
3.337,103.035,-12.789
3.371,102.529,-11.798
3.405,102.302,-10.478
3.438,101.943,-8.920
3.472,101.623,-7.066
3.506,100.993,-5.438
3.539,100.543,-3.260
3.573,100.036,-1.244
3.607,99.889,1.389
3.641,99.730,3.943
3.674,99.907,7.207
3.708,100.042,10.820
3.742,100.593,15.165
3.775,101.163,19.323
3.809,101.889,23.734
3.843,102.745,28.035
3.876,103.769,33.136
3.910,104.937,37.420
3.944,106.435,41.979
3.978,108.109,45.320
4.011,110.330,48.760
4.045,112.753,51.241
4.079,115.329,53.634
4.112,117.944,55.286
4.146,120.524,56.092
4.180,123.332,56.131
4.214,125.770,54.909
4.247,128.337,53.304
4.281,130.443,50.979
4.315,132.603,48.175
4.348,134.452,44.532
4.382,136.201,40.342
4.416,137.865,35.125
4.450,138.979,29.831
4.483,139.730,24.038
4.517,139.763,18.261
4.551,139.705,11.915
